VideoTime_s,DataTime_s,Behavior
0.5313992087672229,-6.468600791232777,other
1.0627984175344458,-5.937201582465554,other
1.5941976263016688,-5.405802373698331,other
2.1255968350688916,-4.874403164931108,other
2.6569960438361147,-4.343003956163885,other
3.1883952526033377,-3.8116047473966623,other
3.7197944613705607,-3.2802055386294393,other
4.251193670137783,-2.7488063298622167,stand
4.782592878905007,-2.2174071210949933,stand
5.313992087672229,-1.6860079123277707,stand
5.845391296439453,-1.1546087035605472,stand
6.376790505206675,-0.6232094947933247,stand
6.908189713973898,-0.09181028602610208,stand
7.439588922741121,0.4395889227411214,stand
7.970988131508344,0.970988131508344,stand
8.502387340275567,1.5023873402755665,stand
9.03378654904279,2.033786549042791,stand
9.565185757810013,2.5651857578100135,stand
10.096584966577236,3.096584966577236,stand
10.627984175344459,3.6279841753444586,stand
11.159383384111681,4.159383384111681,stand
11.690782592878906,4.6907825928789055,stand
12.222181801646128,5.222181801646128,stand
12.75358101041335,5.753581010413351,stand
13.284980219180573,6.284980219180573,stand
13.816379427947796,6.816379427947796,stand
14.34777863671502,7.34777863671502,stand
14.879177845482243,7.879177845482243,stand
15.410577054249465,8.410577054249465,stand
15.941976263016688,8.941976263016688,stand
16.47337547178391,9.47337547178391,stand
17.004774680551133,10.004774680551133,stand
17.536173889318356,10.536173889318356,stand
18.06757309808558,11.067573098085582,stand
18.598972306852804,11.598972306852804,stand
19.130371515620027,12.130371515620027,stand
19.66177072438725,12.66177072438725,stand
20.193169933154472,13.193169933154472,stand
20.724569141921695,13.724569141921695,stand
21.255968350688917,14.255968350688917,stand
21.78736755945614,14.78736755945614,stand
22.318766768223362,15.318766768223362,stand
22.85016597699059,15.850165976990588,stand
23.38156518575781,16.38156518575781,stand
23.912964394525034,16.912964394525034,stand
24.444363603292256,17.444363603292256,stand
24.97576281205948,17.97576281205948,stand
25.5071620208267,18.5071620208267,stand
26.038561229593924,19.038561229593924,stand
26.569960438361147,19.569960438361147,stand
27.10135964712837,20.10135964712837,stand
27.63275885589559,20.63275885589559,stand
28.164158064662818,21.164158064662818,stand
28.69555727343004,21.69555727343004,stand
29.226956482197263,22.226956482197263,stand
29.758355690964486,22.758355690964486,stand
30.289754899731708,23.289754899731708,stand
30.82115410849893,23.82115410849893,stand
31.352553317266153,24.352553317266153,stand
31.883952526033376,24.883952526033376,stand
32.4153517348006,25.415351734800602,stand
32.94675094356782,25.94675094356782,stand
33.47815015233505,26.478150152335047,stand
34.009549361102266,27.009549361102266,stand
34.54094856986949,27.540948569869492,stand
35.07234777863671,28.07234777863671,stand
35.60374698740394,28.603746987403937,stand
