VideoTime_s,DataTime_s,Behavior
0.5313992087672229,-4.718600791232777,other
1.0627984175344458,-4.187201582465554,other
1.5941976263016688,-3.6558023736983314,other
2.1255968350688916,-3.1244031649311084,other
2.6569960438361147,-2.5930039561638853,other
3.1883952526033377,-2.0616047473966623,other
3.7197944613705607,-1.5302055386294393,other
4.251193670137783,-0.9988063298622167,stand
4.782592878905007,-0.46740712109499327,stand
5.313992087672229,0.0639920876722293,stand
5.845391296439453,0.5953912964394528,stand
6.376790505206675,1.1267905052066753,stand
6.908189713973898,1.658189713973898,stand
7.439588922741121,2.1895889227411214,stand
7.970988131508344,2.720988131508344,stand
8.502387340275567,3.2523873402755665,stand
9.03378654904279,3.783786549042791,stand
9.565185757810013,4.3151857578100135,stand
10.096584966577236,4.846584966577236,stand
10.627984175344459,5.377984175344459,stand
11.159383384111681,5.909383384111681,stand
11.690782592878906,6.4407825928789055,stand
12.222181801646128,6.972181801646128,stand
12.75358101041335,7.503581010413351,stand
13.284980219180573,8.034980219180573,stand
13.816379427947796,8.566379427947796,stand
14.34777863671502,9.09777863671502,stand
14.879177845482243,9.629177845482243,stand
15.410577054249465,10.160577054249465,stand
15.941976263016688,10.691976263016688,stand
16.47337547178391,11.22337547178391,stand
17.004774680551133,11.754774680551133,stand
17.536173889318356,12.286173889318356,stand
18.06757309808558,12.817573098085582,stand
18.598972306852804,13.348972306852804,stand
19.130371515620027,13.880371515620027,stand
19.66177072438725,14.41177072438725,stand
20.193169933154472,14.943169933154472,stand
20.724569141921695,15.474569141921695,stand
21.255968350688917,16.005968350688917,stand
21.78736755945614,16.53736755945614,stand
22.318766768223362,17.068766768223362,stand
22.85016597699059,17.60016597699059,stand
23.38156518575781,18.13156518575781,stand
23.912964394525034,18.662964394525034,stand
24.444363603292256,19.194363603292256,stand
24.97576281205948,19.72576281205948,stand
25.5071620208267,20.2571620208267,stand
26.038561229593924,20.788561229593924,stand
26.569960438361147,21.319960438361147,stand
27.10135964712837,21.85135964712837,stand
27.63275885589559,22.38275885589559,stand
28.164158064662818,22.914158064662818,stand
28.69555727343004,23.44555727343004,stand
29.226956482197263,23.976956482197263,stand
29.758355690964486,24.508355690964486,stand
30.289754899731708,25.039754899731708,stand
30.82115410849893,25.57115410849893,stand
31.352553317266153,26.102553317266153,stand
31.883952526033376,26.633952526033376,stand
32.4153517348006,27.165351734800602,stand
